name,sku,barcode,category,description,selling_price,cost_price,current_stock,min_stock_level,max_stock_level,supplier
"Smartwatch","SKU000476","8901234000476","Stationery","High quality smartwatch - Stationery",1210,661,417,19,202,"Wholesale Dist"
"Table","SKU000477","8901234000477","Musical Instruments","High quality table - Musical Instruments",839,608,92,9,211,"Wholesale Dist"
"Lotion","SKU000478","8901234000478","Beauty & Personal Care","High quality lotion - Beauty & Personal Care",698,502,14,7,292,"Regional Distributor"
"Pen","SKU000479","8901234000479","Automotive","High quality pen - Automotive",664,471,80,11,204,"Import Company"
"Milk","SKU000480","8901234000480","Books & Media","High quality milk - Books & Media",1354,960,189,16,315,"Regional Distributor"
"Socks","SKU000481","8901234000481","Electronics","High quality socks - Electronics",1475,772,416,5,287,"Wholesale Dist"
"Jacket","SKU000482","8901234000482","Groceries","High quality jacket - Groceries",813,518,273,7,311,"Premium Supplier"
"Jeans","SKU000483","8901234000483","Home & Kitchen","High quality jeans - Home & Kitchen",828,418,42,6,113,"Supplier B"
"Deodorant","SKU000484","8901234000484","Stationery","High quality deodorant - Stationery",126,64,114,17,264,"Direct Manufacturer"
"Nuts","SKU000485","8901234000485","Musical Instruments","High quality nuts - Musical Instruments",152,77,166,19,468,"Premium Supplier"
"Bed","SKU000486","8901234000486","Home & Kitchen","High quality bed - Home & Kitchen",879,444,111,13,297,"Regional Distributor"
"Toothpaste","SKU000487","8901234000487","Electronics","High quality toothpaste - Electronics",969,521,498,14,336,"Supplier A"
"Dumbbell","SKU000488","8901234000488","Automotive","High quality dumbbell - Automotive",112,64,493,9,325,"Import Company"
"Jeans","SKU000489","8901234000489","Pet Supplies","High quality jeans - Pet Supplies",566,358,464,5,449,"Bulk Distributor"
"Face Wash","SKU000490","8901234000490","Electronics","High quality face wash - Electronics",1485,825,105,17,351,"Supplier A"
"Rice","SKU000491","8901234000491","Jewelry","High quality rice - Jewelry",1397,812,468,16,290,"Import Company"
"Monitor","SKU000492","8901234000492","Toys & Games","High quality monitor - Toys & Games",1516,991,170,12,394,"Bulk Distributor"
"Wireless Mouse","SKU000493","8901234000493","Jewelry","High quality wireless mouse - Jewelry",196,112,304,18,411,"Wholesale Dist"
"Study Material","SKU000494","8901234000494","Furniture","High quality study material - Furniture",1713,936,418,10,308,"Bulk Distributor"
"Rice","SKU000495","8901234000495","Clothing","High quality rice - Clothing",936,526,281,17,466,"Import Company"
"Frying Pan","SKU000496","8901234000496","Stationery","High quality frying pan - Stationery",321,198,158,12,431,"Local Vendor"
"Eraser","SKU000497","8901234000497","Toys & Games","High quality eraser - Toys & Games",187,119,172,8,262,"Local Vendor"
"Laptop","SKU000498","8901234000498","Electronics","High quality laptop - Electronics",932,740,160,15,413,"Wholesale Dist"
"Toothpaste","SKU000499","8901234000499","Furniture","High quality toothpaste - Furniture",1569,934,392,12,227,"Direct Manufacturer"
"Keyboard","SKU000500","8901234000500","Automotive","High quality keyboard - Automotive",435,229,276,9,297,"Bulk Distributor"
"Dumbbell","SKU000501","8901234000501","Automotive","High quality dumbbell - Automotive",1177,847,284,13,188,"Direct Manufacturer"
"Building Blocks","SKU000502","8901234000502","Automotive","High quality building blocks - Automotive",945,519,280,10,383,"Regional Distributor"
"Power Bank","SKU000503","8901234000503","Sports & Outdoors","High quality power bank - Sports & Outdoors",1704,897,117,8,304,"Supplier B"
"Jeans","SKU000504","8901234000504","Health & Wellness","High quality jeans - Health & Wellness",562,321,379,19,286,"Direct Manufacturer"
"Utensils","SKU000505","8901234000505","Groceries","High quality utensils - Groceries",1613,823,494,18,113,"Supplier A"
"Toothpaste","SKU000506","8901234000506","Furniture","High quality toothpaste - Furniture",1723,996,276,11,408,"Import Company"
"Rice","SKU000507","8901234000507","Health & Wellness","High quality rice - Health & Wellness",1032,641,397,5,210,"Supplier B"
"Headphones","SKU000508","8901234000508","Groceries","High quality headphones - Groceries",721,412,182,14,369,"Bulk Distributor"
"Cricket Bat","SKU000509","8901234000509","Toys & Games","High quality cricket bat - Toys & Games",949,593,181,19,144,"Regional Distributor"
"Yoga Mat","SKU000510","8901234000510","Toys & Games","High quality yoga mat - Toys & Games",152,89,156,10,423,"Supplier A"
"Pencil","SKU000511","8901234000511","Pet Supplies","High quality pencil - Pet Supplies",1208,922,182,14,282,"Supplier B"
"Bread","SKU000512","8901234000512","Books & Media","High quality bread - Books & Media",512,278,194,11,318,"Import Company"
"Dress","SKU000513","8901234000513","Clothing","High quality dress - Clothing",605,469,126,15,391,"Local Vendor"
"Cricket Bat","SKU000514","8901234000514","Musical Instruments","High quality cricket bat - Musical Instruments",979,765,240,17,121,"Import Company"
"Milk","SKU000515","8901234000515","Electronics","High quality milk - Electronics",1231,779,492,18,225,"Wholesale Dist"
"Bedsheet","SKU000516","8901234000516","Home & Kitchen","High quality bedsheet - Home & Kitchen",488,254,480,7,282,"Local Vendor"
"Towel","SKU000517","8901234000517","Pet Supplies","High quality towel - Pet Supplies",1019,842,228,10,275,"Local Vendor"
"Spatula","SKU000518","8901234000518","Sports & Outdoors","High quality spatula - Sports & Outdoors",842,465,328,20,282,"Import Company"
"Deodorant","SKU000519","8901234000519","Musical Instruments","High quality deodorant - Musical Instruments",113,63,94,5,338,"Direct Manufacturer"
"Badminton Racket","SKU000520","8901234000520","Jewelry","High quality badminton racket - Jewelry",655,370,416,5,386,"Local Vendor"
"Fruits","SKU000521","8901234000521","Musical Instruments","High quality fruits - Musical Instruments",571,299,457,6,154,"Premium Supplier"
"Measuring Cup","SKU000522","8901234000522","Toys & Games","High quality measuring cup - Toys & Games",959,539,32,19,483,"Import Company"
"Pasta","SKU000523","8901234000523","Jewelry","High quality pasta - Jewelry",1445,865,141,17,265,"Import Company"
"Desk","SKU000524","8901234000524","Clothing","High quality desk - Clothing",200,115,312,20,109,"Wholesale Dist"
"Rice","SKU000525","8901234000525","Home & Kitchen","High quality rice - Home & Kitchen",239,158,175,15,147,"Premium Supplier"
"Cutting Board","SKU000526","8901234000526","Beauty & Personal Care","High quality cutting board - Beauty & Personal Care",275,162,120,16,176,"Wholesale Dist"
"Smartphone","SKU000527","8901234000527","Automotive","High quality smartphone - Automotive",1205,717,197,8,394,"Bulk Distributor"
"Speaker","SKU000528","8901234000528","Pet Supplies","High quality speaker - Pet Supplies",1211,658,308,12,165,"Regional Distributor"
"Speaker","SKU000529","8901234000529","Groceries","High quality speaker - Groceries",1293,803,492,11,473,"Premium Supplier"
"Smartphone","SKU000530","8901234000530","Toys & Games","High quality smartphone - Toys & Games",316,227,400,16,487,"Premium Supplier"
"Tablet","SKU000531","8901234000531","Sports & Outdoors","High quality tablet - Sports & Outdoors",767,590,155,14,271,"Supplier A"
"Toothpaste","SKU000532","8901234000532","Stationery","High quality toothpaste - Stationery",278,183,386,18,236,"Supplier B"
"Whisk","SKU000533","8901234000533","Pet Supplies","High quality whisk - Pet Supplies",463,362,90,16,442,"Regional Distributor"
"Phone Charger","SKU000534","8901234000534","Automotive","High quality phone charger - Automotive",1017,609,223,15,400,"Local Vendor"
"Football","SKU000535","8901234000535","Sports & Outdoors","High quality football - Sports & Outdoors",212,150,185,17,298,"Import Company"
"Pasta","SKU000536","8901234000536","Furniture","High quality pasta - Furniture",1421,994,196,18,309,"Wholesale Dist"
"Toothpaste","SKU000537","8901234000537","Health & Wellness","High quality toothpaste - Health & Wellness",488,390,399,17,237,"Local Vendor"
"Chair","SKU000538","8901234000538","Automotive","High quality chair - Automotive",137,96,23,13,214,"Premium Supplier"
"Bed","SKU000539","8901234000539","Musical Instruments","High quality bed - Musical Instruments",468,374,278,10,341,"Direct Manufacturer"
"Yoga Mat","SKU000540","8901234000540","Health & Wellness","High quality yoga mat - Health & Wellness",996,732,436,16,101,"Bulk Distributor"
"Scissors","SKU000541","8901234000541","Automotive","High quality scissors - Automotive",679,468,472,17,493,"Premium Supplier"
"USB Cable","SKU000542","8901234000542","Clothing","High quality usb cable - Clothing",917,695,255,20,204,"Premium Supplier"
"Building Blocks","SKU000543","8901234000543","Books & Media","High quality building blocks - Books & Media",587,295,227,7,306,"Regional Distributor"
"Towel","SKU000544","8901234000544","Health & Wellness","High quality towel - Health & Wellness",390,258,226,12,229,"Supplier A"
"Bedsheet","SKU000545","8901234000545","Clothing","High quality bedsheet - Clothing",1304,795,140,17,435,"Wholesale Dist"
"Salt","SKU000546","8901234000546","Groceries","High quality salt - Groceries",905,637,163,16,408,"Supplier C"
"Novel","SKU000547","8901234000547","Automotive","High quality novel - Automotive",469,247,374,7,134,"Import Company"
"Power Bank","SKU000548","8901234000548","Pet Supplies","High quality power bank - Pet Supplies",319,257,194,12,290,"Supplier A"
"Bed","SKU000549","8901234000549","Stationery","High quality bed - Stationery",974,590,323,20,170,"Direct Manufacturer"
"Wheat","SKU000550","8901234000550","Jewelry","High quality wheat - Jewelry",1523,901,475,5,420,"Premium Supplier"
